,아이디,댓글 내용
333,  CHILL Hill,진짜 악플러들때문에 고생많았다 지들이 뭘 안다고 혼자 상상의 나래 펼치면서 글쓰는 악플러들 천지였는데 고생많았다
334,  냥냥,해은이는 29살이라는 나이에 비해 아직 너무 어리다 규민이가 왜 질투를 티내지 않았는지 이해하려고 하기보단 왜 티내지 않았냐고만 말하고 본인 상처 받은 것만 말한다 이 장면에서 하는 말들도 규민에게 미련이 많아보이는데 결국은 현규를 선택함 사랑은 다른사람으로 잊으면 탈이 나는 법인데 해은이는 성숙해졌으면 하고 규민이는 좋은 사람 만났으면 좋겠다
335,  Yun.k Ju,7년이라는 정이 무섭죠~두 분다 모두 행복하길~ 그래도 좋은 추억으로 가슴에 남지 않을까요^^
336,  yeondam,규민때문에 엄청 울었네요 해은보다 더 멋지고 규민과 잘어울리는 사람 만날수있을거에요 응원합니다
337,  MH L,처음에 규민이 이해안됐는데 뒤로 가면서 이해가 되드라 규민이도 좋은사람 만나서 잘됐으면
338,  ㅇㅇ,진짜 사랑은 타이밍인가….. 참 어렵다… ㅜㅜㅜ
339,  ㅇㅇ,진짜 결혼식에서 딸 보내는 아빠같다
340,  차차,저렇게 사랑했었는데 왜 헤어질수 밖에 없나요ㅠㅠ연애는 끝났지만 결혼하게 되면 정말 잘 살것같아요
341,  kamariah isa,Love you guys so much...
342,  귀요미,사랑은 타이밍이다..그날 저녁만 같이먹었어도...한번에데이트만더있었더라도 둘이잘됬을수도...
343,  Yaeyae,규민도 행복해!!
344,  * c l o u d,사랑은 타이밍 보다 의지 라고 생각함 !
345,  박건희,규민 님 응원합니다.
346,  성이름,연애하는 동안 규민이는 다정하게 안해주고 해은이만 사랑하는 연애였을 거라는 사람들이 있는데.. 엄청 잘해줬으니 못 잊었던 거지.. 결국에 해은이가 잘못해서 헤어졌으니 더 후회하고 그리워하는 거고...그래도 결국 둘이 잘 보내줘서 다행이다.... 둘다 좋은사람이랑 이쁘게 만나고 살아.........아 시방개슬퍼
347,  234[이사람이 사는법] how i live day after day,나 왜 우냐..
348,  마블조아,마음 한구석에는 미련이 많이 남아있어... 마지막날까지 우는게...어딘가에서는 죽을때까지 사겨줬으면 좋겠다...
349,  P??,진심 드라마보면서도 이렇게는 안슬펐는데..  현실연애라서 더 와닿넹ㅜ
350,  ㄱㅇ,사랑은 타이밍이라는 말이 정말 맞네..
351,  뉴진스아니고유진스임,참…. 사귀다 헤어지면 그동안 추억 다 버리고 남남보듯 해야하는게 너무 가슴아프다…. 진짜 아리고 진짜 어딘가 먹먹해서 어떻게 표현해야할지 모르겠다
352,  xiumei J,좋은사람과 좋은시절에 좋은사랑하고 좋은정리를 하고 있구나..저 인생들이 부럽고 저런 성숙한 20대를 나는 과연 보냈었나 싶네..
353,  태윤,"연애를 하면서 때로는 답답하고 때로는 그만두고 싶어지는 마음이 들어도 그것 또한 그사람을 너무나도 사랑하기 때문에 생기는 감정들인것 같습니다. 주변에서 이별하는 커플을 많이 목격해도 이별이 문화가 될 수는 없습니다.. 이별이라는 단어보다 극복이라는 단어가 모든 분들에게 더 친숙하게 다가오는 세상이 됐으면 좋겠습니다. 저도 풋풋하게 연애를 하고 있는 20대 대학생의 입장에서 영상을 보니 눈물이 쏟아지네요 .. 부족하면 부족한대로 힘들면 힘든대로 서로 행복하게 만나는 것도 서로가 서로를 위해서 얼마나 노력하고 애썼는지를 너무 잘 이해하기 때문에 가능해지지 않나 싶어요. 내가 바라는 내 연인으로서의 모습도, 때로는 사람으로서 그 사람의 모습도 전부 우리가 사랑하는 그 사람의 모습이잖아요 당장 이해가 안돼도 나만큼 나를 사랑해주고 있겠지, 서로 살아온 환경이 다르니까 내가 아직 그 사람에게 완전히 적응하지 못했겠지 서로 믿어주고 이해해주면서 만나면 그거야 말로 진심어린 이쁜 연애가 아닐까 싶어요. 저도 더 많이 노력해야 겠네요 지금 이순간에도 사랑하는 사람을 위해 보이지 않는 노력을 하고 계시는 모든 분들 존경하고 또 응원합니다 이쁜 사랑하세요?"
354,  맹고,11:20 해은 우는 거 너무 슬프다
355,  나이지리아,"사랑을 보낼수 있어야 새로운 사랑이 오고, 추억일때 가장 아름다운듯. 서로의 가장 아름다운 시절을 함께 했다는것 자체가 의미가 있습니다. 그저 서로의 행복을 빌어주는것 그게 사랑인것 같네요."
356,  Yen Jang,"규민아 해은이 감정에 공감하다보니까 너가 너무 치사하고 못나게 보였었는데, 지금 생각해보니까 너도 많이 힘들었겠구나 싶다 얼마나 신경쓰였으면 그렇게 모질게 굴었을까 싶고…그래도 고생많았어 해은이가 행복하길 빌어줘서 고마워"
357,  결가ASMR,말만이라도 기쁘다에서 오열 ㅜㅜ
358,  참깨 동거인,널 보내주려면 내가 나쁜놈해야해 해은아 좋은 사람 만나 나 보다 더 좋은놈 만나 지금 그 남자가  널 웃게 해주는 남자야 라고 말하는거 같어.. 보고 있는 난 .. 9년 동안 연애해보고 헤어진 사람으로써..둘 다 행복해라.. 시간아 지나면 앚혀지겟지만 가끔 생각나는 추억일테니
359,  leeby,규민이도행복했으면..
360,  Kelly Ha,규민이 그런마음 있었다는것만으로도 큰위로가되고 상처가 치유됐을거예요.다행인건 설레는 직진남이 있는상황이기에 마음의 위로가 된것만으로 만족하고 현규한테 갈 수 있었던 것 같아요. 그리고 서로 은근히 알겠죠?원래는 죽고못사는 사이였는데이젠 이미 떨어져지내봤고내앞에서 다른사람한테 마음이 간다는것을 서로 알게됐으니..   사랑이 컸던만큼 그만큼 사랑할수없음에 이젠 아니라는것을 마음속 깊은곳에서는 알고있을것 같아요.
361,  ming,9:13 그 어떤 드라마를 봐도 이렇게 슬프게 울었던 적이 있던가.... ㅠ 해은이의 그럼 나 문자 처음 받는거였는데 그 말이 너무나도 슬프고 그렇기에 저런 선택을 할 수 있었겠지.. 환승연애2 진짜 너무너무 소중했어요
362,  무지무지,저들의 마음을 다 알 순 없겠지만 처음엔 규민의 행동이 너무 매정하다고 느껴졌지만 끝까지 보고 나니 규민도 해은이와 마찬가지로 6년동안의 연애의 미련이 전혀 없진 않았겠지 근데 해은이 말한대로 이둘의 마지막에 규민은 힘들었고 규민이 내내 차가웠다고 했었던걸 보면 아직 오랜시간의 좋았던 추억과 미련이 있었지만 현실적으로 다시 이어지는건 어렵고 이어졌다고 한들 본인이 다시 힘들걸 알고 다시 잘될거 아니면 확실하게 선을 지키는게 더 해은이를 위한일이라고 잠깐의 상처를 주더라도 매정하게 했던 것 같다. 그러다가 해은이 현규에게 마음이 흔들리고 지금 자신의 마음을 표현해도 해은이가 현규를 포기하고 자신한테 오진 않을거라는걸 알고있으니까 자신의 마음을 솔직하게 표현하면서 이때까지의 상처준 해은이의 마음을 달래준게 아닐까? 결코 이때까지의 행동이 해은이가 상처받았으면 하는 나쁜마음은 아니였던것 같음.
363,  할수이짜나,"이거 보니깐,,먼훗날우리 영화장면이 많이 생각나네요ㅜㅜ,,,"
364,  쁘니플레르,규민이에게 내가 다 미안하다 사람속도 모르고 규민씨 수고했어요~~
365,  너정말싸가지없다나한테,각자의 위치에서 행복합시다
366,  귀요미,아직마음이남아있는데 다른사람에게데려다주는심정은  하.. 마음찢어지겠다..
367,  현,진짜 어른의 연애다
368,  공의,"4년 사귄 여자친구와 헤어지고 나서, 미련도 많고 재회하고 싶은 마음이 없는 것도 아니었으나.재회를 망설인 건 이미 불타고 꺼버린 곳에 다시금 불을 붙이는게 얼마나 어려운지 알기 때문이다. 불이 지나간 자리에 다시 불을 붙일 수 있겠으나, 그 불은 전에 불과는 사뭇 다른 모습일거고, 다시 붙은 불을 보며 서로가 같은 생각을 할까. 전에 우리가 붙였던 불이 지금의 저 불과 같을까. 해은은 그 불이 같은 불일거라 생각했고,규민은 전혀 다른 불일거라 생각했고.나연과 희두는 서로 그 불이 예전과 다른 불일지언정 서로 맞춰가길 희망했고.생각과 선택은 저마다 다르지.탓할 수 없지."
369,  dasilver,해은 현규 행복해라…
370,  Jj Jj,"사실 7년 인연 밀처내야겠다가도 막상 다른 이성이 다가오니 질투도 날수 있다고 생각해요하지만 마지막에 자신의 솔직한 감정 이야기하고 서로 소중한 시절,존재였음을 공유한게 좋네요. 누구라도 저런 상황에서 해은을 보내주는게 참 어렵겠다는 생각이 들었어요@4:03서로의 20대시절, 7년인연 가슴속에 잘 담아두고 앞으로의 사랑에 좋은 양분으로 남아있으면 좋겠습니다!"
371,  몽실누나,하관 운명설 해은 규민 입모양이 진짜 너무 비슷하다..
372,  손혜진,후련하다 묵은게 확 내려간 느낌규민님도 좋은 사람 만나세요
373,  BBa Baa,규민도 이제 좀 더 솔직해도 되고 자기 힘든거나 마음을 좀 더 표현해도 된다는 걸 느끼고 성장했을듯 인간으로서
374,  Roy Lee,왜 이렇게 울어 ㅜㅜ 나도 눈물나게..
375,  아기양,제작진도 그럼 나 처음 받는거였는데 할때 나오는 배경음이 ㅇ하…대박임
376,  강,중간에 몇몇분들 속으로 미워해서 미안했어요 다들 그냥 행복하길!
377,  A jin,왕창 눈물 났는데 12:16 보고 정신차림 ㅎ
378,  유준영,이제는 자신을 잊고...좋은사람을 만날수 있게 하기위해서 이프로그램에 해은을 부른게 아닐까...규민이는....
379,  최뚜이,단언컨대 환승연애2 진주인공들 ..
380,  SIO,사랑이라는게 참.. 너무 슬프다.. ㅠㅠ
381,  힘힠,너무 슬프다진짜
382,  금빛잉어,드라마같다 진짜 애절했던 첫사랑의추억과 날 많이 좋아하는사람만나는 새사랑 이야기
383,  담탱이,"난 유튜브 인스타 커뮤니티 안가리고 규민이 욕 진짜 죽을듯이 쳐먹길래 보기 시작했는데, 끝날 때쯤 되니까 뭐 젠틀하니 착하니 원래 이렇게 마음이 고운 사람이였다고 하고 있네 와 이게 진짜 양면성인가... 티셔츠에 어깨뽕이 있니 없니에 말투도 이상하다고 온갖 트집 다 잡혀서 까이지 않았음? 내가 지금 다른 프로를 보고 있는건가?"
384,  닝닝닝,맘 아프다 해은이 일주일안에 환승된게신기하네ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 하
385,  힝힝,"너무,,아름다운,,사랑이야기야,,,"
386,  행복,내가 처음부터 생각한 규민이 맞았네! 규민에 대해서 좋게 이야기만 하면 비난 받았던 시간들 생각하면... 규민아 행복해라!
387,  Minz,레전드다
388,  CALEB LEE,어쩌면 규민씨가 정말 현명한 사람일지도... 해은씨와 다시 사귈께 아니라면 확실히 선을 긋는게 둘 다 한테 가장 좋은 선택이 아니었을까...
389,  김민승,"1. 제작진이 둘의 관계를 결정지었다고도 보여진다. 만약, 마지막 비밀데이트가 없었고, 규민과 해은이 술 마실 수 있는 시간까지 좀 더 허락해줬다면, 둘은 100% 이어졌다. 아니, 그런 시간이 없었다고해도, 마지막에 문자보낼 수 있는 기회라도 줬으면 둘은 이어졌다(= 그냥 이걸보고 제작진측에서 둘의 관계를 결정지어버렸다는 느낌이 들었다) 현규와 해은이 아무리 잘 되고있었다고해도, 규민의 위력이 그것들을 한번에 무너뜨릴만큼 강한 시소추역할을 하는데... 그 타이밍이 끊겼던 게 초저녁.. 누구나 밤이되면 감상적으로 변해가는데 제작진측에서 원래 계획했던건지 아니면 중간에 드라마틱한 요소를 위해서였는지 모르겠지만, 어쨌든 해은과 현규는 마지막에 술까지 마실 수 있는 시간이 주어지면서 해은이의 마음이 더욱 현규에게로 가게된것 같다.2. 1주일이 더 있었으면 달라졌을것 같냐라고 해은이 규민에게 물어보는데, 1주일이 아니라, 하루만 더 있었어도 규민은 해은에게 달려갔을것 같다. 차안에서도 규민이 고백하지만, 처음엔 해은에 대한 마음이 없었다가(=아마도 예전처럼 잘해줄 자신이 없어서, 규민의 방식으로 해은이를 떠나보내고 싶었던것 같다. 그 방식이 내가 이해할 수 없는 방식이긴 하지만 그래도 감히 규민의 행동에 내가 뭐라할순없다)마지막 카페데이트 이후로 해은에게 마음이 커졌다고 고백한다. 그냥, 이 프로가 단순히 나와 상관없는 연예프로라고 생각할수도 있지만, 그냥 관찰자인 내 입장에선 나 스스로를 돌아보고, 지금 내곁에 있는 사람에게 얼마나 감사해하고 소중하게 대해야하는지를 심장에 박힐정도로 절실하게 알려준 프로라서 여운이 너무 강하게 남는다.3. 규민,해은은 이제 각자의 길을 걷겠지만, 그런순간에도 서로를 진심으로 응원하고 위해줄 수 있는 사이정도는 되지 않을까 싶다. 여운이 너무 강하게 남지만, 나도 이제 나 스스로를 돌아보면서 내 영역에서 최선을 다할 수 있도록 가르쳐준 환승연애2에 감사드리며 내 마음속에서도 이제 환승연애2는 떠나보내야지..."
390,  뇽,근데 진ㅁ자 해은규민 말투 개똑같다 ㄹㅇ
391,  민교야사랑해,6년이나 만났는데 규민이가 나쁜 사람이었으면 해은이가 저렇게 매달리지더 않았겠지 서로 다시 만나면 힘들어질꺼 알고 해은이한태 새로운 삶을 살라고 감정 참으면서 저렇게 행동한거 같아서 슬프네
392,  그립습니다...,놓아줄려고 마음먹엇지만 새로운 사람이 찾아오고 그...깊숙히 묻어두엇던 옜 연인에 대한 감정이 터진거겠지 7년의 시간과 추억은 다른인연을 만나도 문득 생각나지...그 후회를 안하길 바래요 규민씨...전 후회되네요..^^;
393,  최윤희,아직도늦지않았어규민과다시잘되길바래
394,  Jace Min,"충분히 기회가 많았고 회복해 볼수 있는 시간들이 있었다. 규민이가 그렇게 의도하고 행동했던 시간들이었고, 다만 마지막이라 맘이  약해져서 나오는 반응들인것 같다. 잘 헤어졌어 해은아~"
395,  롱LONG,솔직히 규민이가 너무 해은이한테 차갑게굴고 매정하게 대해서 저렇게까지 할 일인가 했는데 볼수록 규민이 마음도 이해되고 해은이 마음은 첨부터 너무 이해되고 공감돼서 이 부분 보면서 펑펑 울었음.....그래도 해은이가 나는 규민이라는 과거에 머물지 않고 새로운 현규라는 자신을 행복하고 즐겁게 이끌어줄 수 있는 사람을 택했다는 게 다행이고 또 한 편으로는 현명한 선택한사람이구나 싶었음...규민 욕 많이 먹었지만 솔직히 시청자 입장에서는 해은 규민 사이의 7년이라는 시간을 아무도 헤아릴 수 없을거임.....둘만의 뭔가가 있기때문에 더 애틋하고 절절한 사랑이었음....무튼 해은이 행복하고 웃길바람 너무 밝고 무해한 사람인 것 같은데 울기만해서 안타까웠음 ㅜㅜ
396,  난 랩처돌이,이게 진짜 타이밍이 너무 그렇다 .. 처음 받는 거였는데에서 왜이렇게 훅 들어오지 너무 슬프다 그래도 결과는 직접 선택했으니 모두 행복했으면 좋겠다
397,  기범스,“사랑하면 놓아줄 수도 있어야 한다.”
398,  숩,감정선 공감하고 싶다... 규민이 보고 눈물 나고 아쉬운데 현규를 택할 수 있는 해은이의 마음.. 참 복잡하구만
399,  Laversten,진짜 다행이다
400,  가장 쉽게알려주는   -MEIJIU이지유TV,"우는게  사람이  저렇게 이쁠수가 있나요,.."
401,  Jimmmy,"이래서 그렇게 모질게 굴었나보다 그 짧은 시간에 외면해왔던 것들이 와르르 무너질 걸 아니까… 규민이가 했던 행동들이 과했던 것도 맞지만, 어쩌면 7년이라는 시간이 가진 힘이 너무나도 큰 걸 알기에 한번 맘 먹은 결정을 후회하지 않고자 더 쎄게 굴었던거 같아요 해은규민과 비슷한 상황에, 비슷한 연애기간을 가지고 있는데 전 저 둘의 심정이 너무나도 이해가요.. 인생의 1/4을 가장 소중한 사람으로 두고 살았을텐데 해은은 과하게 매달릴 수 밖에, 규민은 과하게 밀어낼 수 밖에 없었던거겠죠 두분 다 진심으로 행복했으면 좋겠습니다"
402,  귀요미,어제문자가있었더라면나처음받는건데라고말하는해은이가 너무마음아프다..
403,  나는멍멍이왈왈튓튓튓튓,20회 동안 나도 울고웃었다 그들과 같이 생활 한거같은 느낌..
404,  지히히,일주일만 더 있었다면 서로가 선택했을지는 몰라도 한달이 더 있었더라면 서로가서로를 선택하진 않았을수도..... 처음부터 정리하려는 마음이 컸기에 타이밍도 안맞은거겠지 순간 감정에 혹 하지않고 잘 끝내서 다행이다 규민도 해은이랑있으면 편해보였지만 나연이랑 있는 자기모습이 더 좋다했으니 옛사랑이 아닌 좋은짝 만나길
405,  정현ㄱ,여기 댓글 보면 뱀뱀이 왜 클립으로만 방송 보는 사람들 환연 본 취급 안하는지 넘나 잘 알거 같음 ^^... 규민이도 해은이도 각자 행복하게 잘 살길
406,  미니멀리스트 (Minimal List),피부 존나 좋다 진짜. 뭐지 뭘쓴거지 진짜.
407,  김린,뭔가..둘이 다시 만날거 같은 느낌.....언젠가
408,  전원,규민이는 결국엔 순수했던 자기의모습이 그리웠던거네..
409,  박혜정,너무솔직하고 아름다운 영화한편 본거같은수고하셨어요너무너무 잼나게 봤어요
410,  박성호,너무 뜨겁게 사랑해서..너무 차갑게만 대할 수 밖에 없었던...
411,  qpoin,타이밍은 맞는게 아니라 맞추는거다 규민이고 진짜 간절하고 원했다면 보냈겠지 진작에 근데 그걸 뒤늦게 안건 그냥 딱 그만큼이였다는거고 더이상 함께 할 수 없는거지
412,  meme,해은이 우는거 보면 너무 사랑했던 사람이랑 헤어졌을 때 그 감정이 생각나서 같이 눈물남
413,  luce,비슷한 경험 해본적 있는데.. 헤어지고 다음날 바로 걔는 군대가고.. 연락 일절 안받아주고 미뤄내더니 전역 후 1년이 지났었나 한번 만났는데 그냥 엄청 군대에서 내가 보고 싶었던 이야기 별보면서 했던 생각 내 이름이 흔해서 땡떙분식 이런거 보면 내 생각나서 힘들었던거 ㅋㅋㅋ 그리고 실제로 전화가 딱 한번 왔었는데(제가 소개팅 준비하고 있어서 못받음) 그거를 마지막이라 생각하고 내가 받으면 다시 만나자고 하고 아니면 포기하자고 생각했다는거.. 등등 쨋든 난 걔 마음이 떠난줄 알았는데 완전 차갑게 해서. 다시 만나서 들으니까 눈물은 나고 근데 서로 이젠 아니란걸 알고 ㅋㅋㅋ 그냥 뭔가 그때가 생각나네요.. 그게 마지막으로 본날..
414,  J Kim,"너무 슬프지만, 둘이 타이밍이 안맞은건 아니라고 생각함. 규민이는 절대 타이밍을 내주지 않았을거임. 애초에 규민이는 강제성 엑스 데이트가 없었다면, 최종선택 전날이 아니었다면 절대 해은이랑 데이트를 예전처럼 하지 않고 적대적으로 대했을거임. 한번의 데이트만으로 흔들릴게 걱정돼서 절대 거부했을거니까. 그러니 시간이 더 있었어도 문자를 보낼 일도 타이밍이 맞을 일도 사실은 없었을거임"
415,  유프,나 같은 너너 같은 나사랑이라는 단어만으로는부족한 너와나내 인생이었고내 전부였었던너너의 모든 것이었고 너의 햇살이었던나나와 하나였기에나의 하늘이었기에내 앞에서 무너져버린나였던 너를다시 받아들이지 못했다나와의 기억을 잊고너와의 추억을 지우며나보다 좋은 사람과 만난너의 행복을 바란다나의 행복을 바란다
416,  해피트리,규민 진국이고가볍지않고 다정하고 자기 표현 분명한 어른인듯
417,  Mihee Park,규민님이 좋은 사람 만났으면 좋겠어요.
418,  백강현,연인사이에 자존감이 크면 정말 좋은 사람을 보내게 됩니다.
419,  리오,상처..아쉬움… 확실히 짧은 시간은 아니지만 그만큼 연애 해오면서 가까이 있던 사이였던 만큼 서로 아쉬워서 아깝지만 힘들어도 무너져 내리는 마음을 붙잡아서라도 서로가 서로를 아는 공백을 이겨내고 새로운 사람과 만나면서 매꾸며 잘 나아가길 힘들어도 화이팅 !
420,  홍시,잘 참고 보다가 잘가에서 눈물 또르륵.....
421,  봄여름가을겨울,해은은 처음부터 많이 힘들었는데 그래도 이렇게 울고 이렇게도 해보고 저렇게도 해보고 하는게 진짜 낫다고 생각해요 그럼 정말 후회없이 후련할테니까요 3주동안 많이 힘드셨을 해은님 이제 울지말고 행복만하세요 수고했어요
422,  집순,그 시절 우리는 가장 반짝였고 이젠 그 빛을 잃었다하지만 다시 빛날 우리를 기대해본다.
423,  뾰로로록,"잘 헤어졌다. 헤어지길 잘 한게 아니라 이렇게 헤어질 사람을 사랑했었길 잘했다 라는걸 알게 했던 장면, 여기에 오려고 그랬구나 싶어서 많이 울었어요."
424,  moc ma,ㅋㅋㅋㅋㅋㅋㅋ 채널이름 존나 공감ㅋㅋㅋㅋ 20회보고 너무 소리 질러서 밑에집에서 올라올뻔했으
425,  윤지원,규민이 멋짐. 붙잡지 않았잖아
426,  칸이,규민에 눈물은 나에게 돌아와가 다시 시작하자가 아니라 예전에 해은이는 내 가슴속에서 죽었는데 다시 그때 느낌이 다시 느껴져서 예전에 우릴 추억하며 왜 이렇게 됬을까 하지만 다시 돌아갈수는없는 현재를 슬퍼하며 해은이 상처받지 않고 잘지내기를 기원해주는 멋진남자 다시 시작못하는건 둘만이 아는 헤어진이유라 생각...근대  웃긴게 그렇게 없으면 안된다고 울고불고한 여자가 몇일만난 남자에게 힘들었다고 술먹고 둘이 스킨십 비비적 이때 알았음 아 이게 문제구나 둘대화 내용중 예전에 카페 데이트때 해은이 규민에게 왜이렇게 차가웠냐 그랫는데 규민이 그때도 너한태 기분이 안좋았다 이말을하는데 과거에도 이런일 한두번이 아녔구나 느낌 확왔음 솔직하게 말하면  욕먹을수도 있으니 엄청 희석해서 말해주는데 해은이는 멀 과거일 가지고 아직도 그러냐는 태도 답없음 ㅋ그리고 현규 서울대 집안재력 귀뜸해줬을껄 ㅎ 경험상 휘발류 사랑은 오래못가드라~ 해은이는 헤어지면 역시 규민이가 진짜 좋은남자구나 질질짜면서 전화안하기를 잘보내줘요~
427,  김보미,규민.해은씨... 당신들의 사랑도 안에 젊고 이쁜 날이 가득했기에. 서로를 떠나보내는게 나를 떠나보내는 느낌이였을것 같아요... 각자의 길에 행복하세요
428,  코코볼,규민씨가 해은씨한테 대한 상황은 너무 잘한거였지만 추억은 추억이고 이제 규민씨가 해은씨에 대한 마음은 없는거 같아요! 두분은 타인에 대한 사랑에 진심이기에 추후에 행복한 사랑이루길바래요! 응원합니다! 
429,  썸머한하루,이거보고 많은 생각이 들었어요.. 저도 4년 넘게 만난 인연에 대해 규민이랑 같은 생각이었는데.. 그게 맞는 선택은 아닌거란걸 이제 와서야 알고 후회하며 지내고 있습니다.. 해은이 말대로 힘들면 힘들다 질투나면 질투난다 라고 표현을 하면 좋았을텐데 본인만의 생각이 맞다는 고집을 제가 조금이나만 꺾었다면 아마 후회하진 않았을텐데..
430,  오라무이,진짜 환승연애2는 래전드of레전드입니다 감사합니다
431,  lovely,7년을 사겨도 헤어지는 순간은 단 7초
432,  Temptation,거짓말하고 술마시러 나가고해외가서 2틀동안 잠수..규민아 잘선택했다.30대가 전성기니까 쭉쭉 치고올라가라
433,  kwon samuel,너무 아픈 사랑은 사랑이 아니었음을.. 이 커플에게 딱인듯
434,  love J,같이 보내고 싶다 생각한 적이 없다는데;; 사랑했던 사람… 누구나 사진보면 그리워진다
435,  뿌링뿌링,규민이형 사랑해 내가 사랑해줄께
436,  ㅡㅡ,규민이 김현우스킨 말고 이런 진짜 규민이 모습에 확실히 규며든다....
437,  Here,해은이 같은 성격을 가진 여친에게는 ....7년 연애하는 동안 널 많이 사랑했다. 널 사랑하지 않은게 아니다.하지만 지금은 다시 사랑하기에는 나는(규민) 힘들것 같다. 그래서 서로 다른 사람과 사랑이 필요하다고 생각하니 지금 나에게 (규민) 어떠한 말과 행동을 듣고 싶어 하지 마라규민에게 계속 보채는 해은이 행동이 좋지 않다는것을 짚어주는게해은이 자신을 조금 돌아 보지 않게나 싶어요넘 우니깐넘 답답하고규민에게 계속 미련 남았는지 확인하는게 객관적 시선으로는 한숨만 나네요상대방 입장도 생각을 해야죠
438,  오늘도감사합니다.,규민님한테 욕하던 사람들이 이제와서 좋은사람이라면서 태세전환 하는게 소름돋네.....진짜..
439,  Muzikk,26살인데 아직도 애같다고 느껴지는게 이런 절절한 사랑을 못해봐서 그런걸까
440,  수마쿤,잘가라고 했을때 해은이가 잘가지마 라고 하는 부분에서 규민이가 잡아주길 원했던거 같아서 더 마음이 아팠음..
441,"  MJ,lee",아 겁나울었네…
442,  하얀섭망울,새로운 사람이 그냥 바람이라면 전연인은 폭풍 태풍이라고 달님이 그러셨는데 지나간 사랑이죠 뭐 ㅠ 타이밍이 안맞았고 서로 감정이 어긋났고 .. 한숨으로라도 표현해줬으면 하는 마음 그걸 알았기에 내색도 안하고 진짜 환연2는 이태까지의 모든 연애 이별 문구와 시들을 응축한 프로그램같아요
443,  김뚜아무,중요한건 꺾이지 않는 마음이다
444,  Somang Yang,왜 저렇게 해은은 마음 상처에 보상을받으려고 할까..
445,  메에랄드,첫사랑이 아픈건 그 사람이 아니라 그 시절의 나때문이라는데... 그시절의 내가 생각났다
446,  끄적이는 똥손??,모든 출연자가 성장하고 끝나는 기분이다.. 이게 영화가 아니면 뭔데..
447,  미쓰디올 유댕댕,결국 마침표를 찍었구낭... 아름다운 이별은 없는줄 알았는데ㅠㅠ...여기있었넹
448,  이마을,드라마 연애의발견 현실판 같네요누군가를 미워하거나 그리워하면 아직 이별한게 아니라했는데둘은 환승연애2를 통해 '7년의 연애' 를 이별한것 같아요.연애의 발견에서는 결국 둘이 다시 만나게 되지만 환승연애2에서 해은과 규민의 서사는 각본으로 짜여진 드라마 보다 더 드라마 같기에 사람들이 더 몰입하게 되어 화도 내고 웃고 운것같아요ㅠㅠ 두분 다 꼭 행복하시길!
449,  응그래니가짱,현규가 기다리고있는 저 장소 환연 초반에 규민이랑 해은   마주보면서 연애한 기간 나오던 그 장면의 장소랑 비슷해서 과거의 끝과 현재의 시작을 보여주는거 같아 뭔가 어 뭔가 말로 설명할수 없는 신기한 기분이네
450,  SeongWoo JIN,규민이 무지성으로 욕한 사람들 진짜… 반성하세요
451,  깜장,규민이는 너무 매정하게만 했던 자신이 조금 후회되는거지.. 근데 잘 대해줬으면 다시 만나고 싶은 마음은 없는데 여지주는거니까 욕은 많이 먹었어도 현해커플 만들어진 이유가 된 것 같기도 하네규민이 행복행
452,  레몬 ??,아 진짜 사랑 이렇게 하지마 내 마음 무너져. ㅠㅠ
453,  여울,해은이는 이제 행복한거 봤고 ~ 규민아 행복해라. 해은이처럼 좋은 여자가 왜 저렇게 못놓는지 알만큼 괜찮은 사람이야 너 !
454,  이소,진심 규민 욕하는 사람들 이해 못하겠다.. 규민 행복했으면..
455,  아에이오우,ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ그냥 다 행복하자
456,  루루,해은 안쓰럽긴한데  지인이라고 친다면 너무 극혐인 캐릭터임예쁘고 맘이 여려보여서 팬 많은거지...헤은도 규민 가스리이팅.마니.햇고그렇게 매달려놓고 안받아주니까나쁜 남자 만들고 ㅜ애초에 잘못은 본인에게 잇엇는데..입꼬리 내려기는거만 봐도 짜증낫는데 안쓰러워서 응원하긴 함
