,아이디,댓글 내용
28,  임희재,3주라는 짧은 시간동안 솔직한 모습을 보여준 해은 규민에게 감탄하다가규민이 위로해주는 것을 보고 존경하다가해은이 인터뷰에서 안울고 현규랑 잘된 것을 보고 규민이는 이것까지 계산한건가 놀라웠는데인터뷰의 시간 순서를 모르겠다는 생각이 들면서 세계관을 만든 제작진이 존경스럽다가도 사람의 마음으로 장난친다는 생각도 들고...무서운 세상이다
29,  보이,8년이란 시간을 솔직히 잊기는 너무 힘들죠 규민이도 처음부터 티 안 내려고 관심 없는척한 게 뻔히 보였는데 마지막에 참다 터져버린 감정을 다 솔직하게 표현한 게 대단하네요 해은 규민 두 분 다시 잘 되길 처음부터 바랬었는데 아쉽네요
30,  시이올,“문자 보냈으면 처음 받는거였을텐데“이 말에서 참았던 눈물이 또르르..
31,  안녕인대용,역시 사람은 감정에 솔직하고 말로 표현해야 한다는걸 환연 통해 배움 솔직한 것도 엄청난 용기가 필요한건데 환연에서 솔직하게 임했던 출연진들 대단함
32,  하이잉,그냥 출연진들 다 행복해라 그동안 너무 재밌게봐서 고마웠구...
33,  Lifeisgood,"그 누구도 빌런은 없었고, 하나같이 각자의 방식대로 멋있는 사람들이었다. 마지막에 규민이가 자신의 ‘오만함’에 대해 말했는데, 이번 계기로 많은 시청자가 자신의 오만함을 되돌아 보았을듯. 10명의 출연진도, 시청자도 환연이 큰 추억과 영감이 될 것 같다. 감사하고 늘 행복하세요"
34,  이지안,해은이 워낙 해맑고 감정에 솔직한 좋은면도 있지만 어떨때는 감정적이고 아이처럼 매달리는 미성숙한 면이 있는데 연애시절 규민은 옆에서 그걸 받아주고 타이르면서 보듬어주는 아빠 같은 사람이었을거같다.
35,  커튼,10:36 12:04 너무 영화 같아서 소름 쫙 돋음 편집이랑 배경음악 미쳤다 진짜
36,  따쟁(따라쟁이)♥,"규민씨도 너무 멋있다 정말 규민이 새남친 선물준거 같애,,,해은님은 너무 힘들고 지친만큼  후련하게 잊고 잘살수 있도록 규민님이 도와준것같아,,눈물이 너무 났어,,마지막으로 서로의맘 이야기해주고 보내줘서 고맙네요,,"
37,  kyokyo park,웬만한 미니시리즈보다 서사 완벽함
38,  권리도,둘 다 너무 멋있고 예쁘다ㅠ
39,  Sheoouza,둘이 너무나 이해하고 이 장면 보고 같이 울었다…둘다 행복하기를 응원함니다?
40,  잡다한지지쓰,연애중에 환승하는 프로인줄알고 안보고있다가 뒤늦게봤는데 펑펑울었다 진짜 연애프로그램에서 이렇게 보고배우는 프로는 처음인듯많은걸 보고배우고 20대 초반의 내 연애감정들을 생각 해 볼 수 있게 해주는 좋은 프로였어요
41,  K K.,규민도 행복해지길~~~!! 환연2 전 출연자들모두 너무 고생했고 나와줘서 고마워요
42,  유잼찾기,규민이도 행복해라...
43,  mi so,마지막까지 서로 대화로 잘 풀어서 다행이예요..타이밍이라는게 참 얼마나 중요한건지 느꼈어요해은이는 본인 감정에 솔직했고 규민이는 그걸 해은이를 위하는게 감정의 절제였다는게하.. 눈물파티.. 둘다 행복했으면 두분덕에 즐거웠슴다 환승연애는 늘 출연자분들의 감정에 같이 울고 웃고 했습니다
44,  옷이소,규민 하나도 못된거없었어요너무 어른스러웠습니다마지막 카페에서 희두를 불러 차에 태울때 정말 멋있었어요
45,  호빵맨,솔직히 규민이는 해은이와의 결말을 이미 다 알고있었을꺼 같음 자기가 미련주고 어째봤자 둘은 다시 뜨거운 연애를 하기엔 이미 늦은상태이고 해은이는 눈앞에서 보이니까 감정은 남아있더라도 그건 모르겠지만 그 7년의 시간이라는 미련때문이라는 생각도 듬 규민이는 자기가 해은이처럼 미련부리고 표현해도 다시 좋아지고 막 그렇게는 못될껄 알았기에 이미 그렇게 행동한거 같음 솔직히 규민이 덮머로 나오니까 ㄹㅇ 잘생김 더 어려보임 ㄹㅇ 규민도 좋은사람 만나라.. 규민도 진심 멋진 사람임
46,  nhg,THIS ONE BETTER THAN ANY KDRAMA SCENE
47,  yedi B,와 진짜 미쳣다.. 너무 슬퍼…규민이 일주일만 시간이 더 잇엇으면해은이한테 문자 보냇을꺼라고 하니까해은이 그럼 나 처음 받는거였는데 라고하는말이 진짜 가슴 찢어지게 아프네ㅠ말만이라도 기쁘다고 하고..비지엠도 슬프고..해은이 행복만 하자..진짜 제발
48,  WILL,환승연애를 통해 마음은 표현해야 하는 거고 사랑은 타이밍이란 걸 다시 한번 느끼게 되네요... 슬프지만 두분 다 각자의 사랑과 앞길을 응원합니다
49,  J,다들 행복하자 ... 넘 좋은 사람들인게 다 보이거든 아름다운 꽃길만 걷기를 ..!
50,  펭수홀릭,둘 다 좋은 사람인 것 같아 마음이 아프다.. 부디 각자 좋은 인연 만나 행복하길
51,  똥따뚀,진짜 눈물이 터지는 느낌이 뭔지 알게한 영상
52,  엄효정,규민이때문에 이렇게 울줄은 몰랐다
53,  성이름,최종 2주후??? 인터뷰에 규민 우는 거 보고 진심 광광광.. 그래도 서로 잘 떠나보내서 다행이다.... 진짜 잘 어울리긴 했어..........
54,  맹고,진짜 환연 2 보는 내내 해은한테 과몰입해서 보는내내 같이 울고.. 진짜 이부분은 오열 광광임 ㅠ 해은이 규민이 문자 있었다면 보냈을거라는 말에 그럼 자긴 처음받는거였는데 라는 말이 너무 슬펐음 ㅠㅠㅜㅜㅜㅜㅠㅠㅠㅠㅠㅠ
55,  조승현,규민님은 당신을 위했고 해은님은 우리를 위했네 둘 다 너무 멋있다
56,  지밀이,규민씨 깊은마음 몰랐네요  왜그렇게 해은씨가 사랑하고 못잊었는지 알것같아요.   두분 아름다운 사랑 마음에 간직하고  행복해지세요~~~~돌아보면 이 추억때문에 행복한 순간이 오고 이 기억이 삶의 거름이 되거든요. 행복하세요
57,  초코맛,규민 진짜 멋있는 사람
